Electricity.Timestep;Time;Sum [kWh]
0;01.01.2021 00:00;0.024682268228585224
15;01.01.2021 00:15;0.032011998361431156
30;01.01.2021 00:30;0.01781607241026523
45;01.01.2021 00:45;0.05159592282536553
60;01.01.2021 01:00;0.04967580020819512
75;01.01.2021 01:15;0.045436575233018785
90;01.01.2021 01:30;0.0634290533518294
105;01.01.2021 01:45;0.019376454094961585
120;01.01.2021 02:00;0.03321062942717775
135;01.01.2021 02:15;0.033307175980129985
150;01.01.2021 02:30;0.016475278828602485
165;01.01.2021 02:45;0.03714962695204947
180;01.01.2021 03:00;0.023048020196089817
195;01.01.2021 03:15;0.023681774946916093
210;01.01.2021 03:30;0.04249782882305216
225;01.01.2021 03:45;0.02229273268641126
240;01.01.2021 04:00;0.026394697797772714
255;01.01.2021 04:15;0.03858587292418411
270;01.01.2021 04:30;0.0178478615583892
285;01.01.2021 04:45;0.03546895410060693
300;01.01.2021 05:00;0.02315292666404793
315;01.01.2021 05:15;0.055329432104314256
330;01.01.2021 05:30;0.06831608177245127
345;01.01.2021 05:45;0.0541386491710304
360;01.01.2021 06:00;0.07211826891044659
375;01.01.2021 06:15;0.07077595627668459
390;01.01.2021 06:30;0.059517368177544897
405;01.01.2021 06:45;0.06566994400367983
420;01.01.2021 07:00;0.03975279276622827
435;01.01.2021 07:15;0.040068549937173
450;01.01.2021 07:30;0.2872261467113416
465;01.01.2021 07:45;0.41151118262244357
480;01.01.2021 08:00;0.21133904089482647
495;01.01.2021 08:15;0.20365991425254373
510;01.01.2021 08:30;0.17314425582068638
525;01.01.2021 08:45;0.4017175456671553
540;01.01.2021 09:00;0.2722938154961839
555;01.01.2021 09:15;0.09663714997646983
570;01.01.2021 09:30;0.06826964165624494
585;01.01.2021 09:45;0.20048094580684397
600;01.01.2021 10:00;0.6150820742529696
615;01.01.2021 10:15;0.08125691831597931
630;01.01.2021 10:30;0.09460349408998148
645;01.01.2021 10:45;0.09384795277549003
660;01.01.2021 11:00;0.08201126324154014
675;01.01.2021 11:15;0.1089710155517689
690;01.01.2021 11:30;0.09729683172700085
705;01.01.2021 11:45;0.09890205766588063
