Electricity.Timestep;Time;Sum [kWh]
0;01.01.2021 00:00;0.025222835669663803
15;01.01.2021 00:15;0.008223961529359435
30;01.01.2021 00:30;0.014940052840297683
45;01.01.2021 00:45;0.03974551768013551
60;01.01.2021 01:00;0.039573337377938375
75;01.01.2021 01:15;0.039446037778186394
90;01.01.2021 01:30;0.03966609465798049
105;01.01.2021 01:45;0.0396704940396394
120;01.01.2021 02:00;0.016524918526758043
135;01.01.2021 02:15;0.00809249763665054
150;01.01.2021 02:30;0.03411367993991041
165;01.01.2021 02:45;0.01586324095880941
180;01.01.2021 03:00;0.008302254130634922
195;01.01.2021 03:15;0.025932679734859153
210;01.01.2021 03:30;0.023717140445622478
225;01.01.2021 03:45;0.008243132263273795
240;01.01.2021 04:00;0.014293678388716365
255;01.01.2021 04:15;0.034679301969186435
270;01.01.2021 04:30;0.00831452282218144
285;01.01.2021 04:45;0.008465064934086415
300;01.01.2021 05:00;0.03773832787325094
315;01.01.2021 05:15;0.03968651470219624
330;01.01.2021 05:30;0.03943777916404368
345;01.01.2021 05:45;0.039510228076417235
360;01.01.2021 06:00;0.03952045438085499
375;01.01.2021 06:15;0.010177369983060137
390;01.01.2021 06:30;0.011338151440462806
405;01.01.2021 06:45;0.03662328491201662
420;01.01.2021 07:00;0.0102345937464248
435;01.01.2021 07:15;0.00818342069404945
450;01.01.2021 07:30;0.031495276711867345
465;01.01.2021 07:45;0.018254203826275843
480;01.01.2021 08:00;0.008240283537831763
495;01.01.2021 08:15;0.036400386936148076
510;01.01.2021 08:30;0.34336362307313456
525;01.01.2021 08:45;0.25654877665508324
540;01.01.2021 09:00;0.04146711526856972
555;01.01.2021 09:15;0.0744224068631641
570;01.01.2021 09:30;0.06367078173125837
585;01.01.2021 09:45;0.03949990656371584
600;01.01.2021 10:00;0.03958747315327315
615;01.01.2021 10:15;0.03544378212127015
630;01.01.2021 10:30;0.008225107737901551
645;01.01.2021 10:45;0.01133475438249489
660;01.01.2021 11:00;0.03676773644164955
675;01.01.2021 11:15;0.012084330929889274
690;01.01.2021 11:30;0.008194848048215672
705;01.01.2021 11:45;0.02207483778251534
720;01.01.2021 12:00;0.03136160766701246
735;01.01.2021 12:15;0.008173398301101498
750;01.01.2021 12:30;0.00813082910426913
765;01.01.2021 12:45;0.029528025525919727
780;01.01.2021 13:00;0.025398003313363938
795;01.01.2021 13:15;0.00824171798323074
810;01.01.2021 13:30;0.010664808012774077
825;01.01.2021 13:45;0.03980995616138923
840;01.01.2021 14:00;0.039562768643736694
855;01.01.2021 14:15;0.03952975363115882
870;01.01.2021 14:30;0.039567757484010674
885;01.01.2021 14:45;0.039509177193699126
900;01.01.2021 15:00;0.022844308413197546
915;01.01.2021 15:15;0.008201727233852466
930;01.01.2021 15:30;0.02845228589629835
945;01.01.2021 15:45;0.02142631275671099
960;01.01.2021 16:00;0.008204393609102228
975;01.01.2021 16:15;0.01829132041715763
990;01.01.2021 16:30;0.03140643308391372
1005;01.01.2021 16:45;0.00813482977081905
1020;01.01.2021 17:00;0.008154812525172426
1035;01.01.2021 17:15;0.03517637210076398
1050;01.01.2021 17:30;0.015890057228221597
1065;01.01.2021 17:45;0.00825528895279214
1080;01.01.2021 18:00;0.027594073017703818
1095;01.01.2021 18:15;0.039499691367324175
1110;01.01.2021 18:30;0.03949134916831295
1125;01.01.2021 18:45;0.03928839348793612
1140;01.01.2021 19:00;0.041311354101991486
1155;01.01.2021 19:15;0.027857720418259832
1170;01.01.2021 19:30;0.013247415018554146
1185;01.01.2021 19:45;0.03531170358244501
1200;01.01.2021 20:00;0.02471404125401031
1215;01.01.2021 20:15;0.013237547769369123
1230;01.01.2021 20:30;0.05232383434376979
1245;01.01.2021 20:45;0.07571717586572987
1260;01.01.2021 21:00;0.058202019724975414
1275;01.01.2021 21:15;0.06437836995860341
1290;01.01.2021 21:30;0.08640734003381856
1305;01.01.2021 21:45;0.05826430572523238
1320;01.01.2021 22:00;0.011744732377704603
1335;01.01.2021 22:15;0.037665008684155
1350;01.01.2021 22:30;0.039377801379911585
1365;01.01.2021 22:45;0.03933665450797195
1380;01.01.2021 23:00;0.039411363597992896
1395;01.01.2021 23:15;0.039492525118607825
1410;01.01.2021 23:30;0.00802065850679275
1425;01.01.2021 23:45;0.011193402578918954
1440;02.01.2021 00:00;0.0365262608632001
1455;02.01.2021 00:15;0.010166736682293941
1470;02.01.2021 00:30;0.008128388474944166
1485;02.01.2021 00:45;0.029752018279646224
1500;02.01.2021 01:00;0.02198723090374622
1515;02.01.2021 01:15;0.008282120394704794
1530;02.01.2021 01:30;0.016255835104267764
1545;02.01.2021 01:45;0.036256177765539736
1560;02.01.2021 02:00;0.008298191398943422
1575;02.01.2021 02:15;0.00847177454024046
1590;02.01.2021 02:30;0.035694070478301566
1605;02.01.2021 02:45;0.039467264933538485
1620;02.01.2021 03:00;0.03945690065525824
1635;02.01.2021 03:15;0.03933862465207228
1650;02.01.2021 03:30;0.03941363647627714
1665;02.01.2021 03:45;0.018709239853240172
1680;02.01.2021 04:00;0.008228971086449115
1695;02.01.2021 04:15;0.026620309416343767
1710;02.01.2021 04:30;0.02533526214183071
1725;02.01.2021 04:45;0.008081998666104564
1740;02.01.2021 05:00;0.008427553243270915
1755;02.01.2021 05:15;0.036670892293239346
1770;02.01.2021 05:30;0.016505423814938
1785;02.01.2021 05:45;0.008211164705752099
1800;02.01.2021 06:00;0.01636084871708117
1815;02.01.2021 06:15;0.036334670120997024
1830;02.01.2021 06:30;0.010317716301804319
1845;02.01.2021 06:45;0.008141348516884897
1860;02.01.2021 07:00;0.02755556990319135
1875;02.01.2021 07:15;0.03951731544920072
1890;02.01.2021 07:30;0.4394551635005604
1905;02.01.2021 07:45;0.27846783832577715
1920;02.01.2021 08:00;0.121872292057158
1935;02.01.2021 08:15;0.07509858766638347
1950;02.01.2021 08:30;0.05396896207309178
1965;02.01.2021 08:45;0.0646909016767931
1980;02.01.2021 09:00;0.07574424665885526
1995;02.01.2021 09:15;0.054088451681782994
2010;02.01.2021 09:30;0.06274660081367057
2025;02.01.2021 09:45;0.040065428921106254
2040;02.01.2021 10:00;0.012079150325418963
2055;02.01.2021 10:15;0.02084135781863598
2070;02.01.2021 10:30;0.04482277565390491
2085;02.01.2021 10:45;0.016587483168348533
2100;02.01.2021 11:00;0.018943476840362596
2115;02.01.2021 11:15;0.04798703768100528
2130;02.01.2021 11:30;0.041679396842895865
2145;02.01.2021 11:45;0.03942770531041383
2160;02.01.2021 12:00;0.03949495312910956
2175;02.01.2021 12:15;0.02909179201575101
2190;02.01.2021 12:30;0.008224968819549539
2205;02.01.2021 12:45;0.0328881032194844
2220;02.01.2021 13:00;0.01018553611643823
2235;02.01.2021 13:15;0.014048302059148553
2250;02.01.2021 13:30;0.029726414298912696
2265;02.01.2021 13:45;0.008190667133654815
2280;02.01.2021 14:00;0.04424835036454293
2295;02.01.2021 14:15;0.19847653598779688
2310;02.01.2021 14:30;0.23310451776054317
2325;02.01.2021 14:45;0.0586201373060249
2340;02.01.2021 15:00;0.03953734486489071
2355;02.01.2021 15:15;0.03945864408493355
2370;02.01.2021 15:30;0.03951869937962994
2385;02.01.2021 15:45;0.01658792025355393
2400;02.01.2021 16:00;0.008163707354902834
2415;02.01.2021 16:15;0.02936281967679389
2430;02.01.2021 16:30;0.023469496609311677
2445;02.01.2021 16:45;0.00827817820737384
2460;02.01.2021 17:00;0.029588192688691044
2475;02.01.2021 17:15;0.04119948848995981
2490;02.01.2021 17:30;0.04168852609025813
2505;02.01.2021 17:45;0.05790652263012172
2520;02.01.2021 18:00;0.06868071082812316
2535;02.01.2021 18:15;0.08205097683364407
2550;02.01.2021 18:30;0.057730767649961774
2565;02.01.2021 18:45;0.05545627695559586
2580;02.01.2021 19:00;0.08226464406395324
2595;02.01.2021 19:15;0.0876304275546794
2610;02.01.2021 19:30;0.0886282764022522
2625;02.01.2021 19:45;0.08951945509359317
2640;02.01.2021 20:00;0.08956093408387679
2655;02.01.2021 20:15;0.07916127507873884
2670;02.01.2021 20:30;0.058189037902202985
2685;02.01.2021 20:45;0.061185924958894605
2700;02.01.2021 21:00;0.08674467710618572
2715;02.01.2021 21:15;0.06766358123078167
2730;02.01.2021 21:30;0.058097128398639855
2745;02.01.2021 21:45;0.04200983919997778
2760;02.01.2021 22:00;0.03664786229428872
2775;02.01.2021 22:15;0.020324945196498825
2790;02.01.2021 22:30;0.008354108975366467
2805;02.01.2021 22:45;0.008266882891465438
2820;02.01.2021 23:00;0.03330214516516261
2835;02.01.2021 23:15;0.02527166127050369
2850;02.01.2021 23:30;0.008255328013965132
2865;02.01.2021 23:45;0.008411887021989351
2880;03.01.2021 00:00;0.033551626961940896
2895;03.01.2021 00:15;0.03948356646377132
2910;03.01.2021 00:30;0.03952935757059987
2925;03.01.2021 00:45;0.03937931436106681
2940;03.01.2021 01:00;0.03954516200096628
2955;03.01.2021 01:15;0.039521142477058194
2970;03.01.2021 01:30;0.018775011391929955
2985;03.01.2021 01:45;0.00828246763967797
3000;03.01.2021 02:00;0.03572672008678942
3015;03.01.2021 02:15;0.011996287728976426
3030;03.01.2021 02:30;0.008199051345745575
3045;03.01.2021 02:45;0.03128814540349595
3060;03.01.2021 03:00;0.016519357656846506
3075;03.01.2021 03:15;0.008060663003664197
3090;03.01.2021 03:30;0.027560271198425402
3105;03.01.2021 03:45;0.0214006281121609
3120;03.01.2021 04:00;0.008246637549031774
3135;03.01.2021 04:15;0.025623954212793707
3150;03.01.2021 04:30;0.03952039978382639
3165;03.01.2021 04:45;0.03944742731688712
3180;03.01.2021 05:00;0.039485998418400524
3195;03.01.2021 05:15;0.03943309524177103
3210;03.01.2021 05:30;0.01438456589746162
3225;03.01.2021 05:45;0.00817839185300603
3240;03.01.2021 06:00;0.03423115457728716
3255;03.01.2021 06:15;0.015731042761128283
3270;03.01.2021 06:30;0.008001869694493334
3285;03.01.2021 06:45;0.022194979458684413
3300;03.01.2021 07:00;0.02957744971867825
3315;03.01.2021 07:15;0.008220953143563133
3330;03.01.2021 07:30;0.015029481778654721
3345;03.01.2021 07:45;0.08691078958867363
3360;03.01.2021 08:00;0.06579863318831136
3375;03.01.2021 08:15;0.05813399588894966
3390;03.01.2021 08:30;0.07550523700026453
3405;03.01.2021 08:45;0.08954392364823041
3420;03.01.2021 09:00;0.055997013235911386
3435;03.01.2021 09:15;0.056250459264587944
3450;03.01.2021 09:30;0.056108961133685374
3465;03.01.2021 09:45;0.07904467116637863
3480;03.01.2021 10:00;0.05804135971192793
3495;03.01.2021 10:15;0.07657091707265426
3510;03.01.2021 10:30;0.07061606489739573
3525;03.01.2021 10:45;0.16791961377011974
