Electricity.Timestep;Time;Sum [kWh]
0;01.01.2021 00:00;0.024711706769748893
15;01.01.2021 00:15;0.01614208175366735
30;01.01.2021 00:30;0.018599859001999695
45;01.01.2021 00:45;0.02839714726592976
60;01.01.2021 01:00;0.016730489779505156
75;01.01.2021 01:15;0.013425630812785557
90;01.01.2021 01:30;0.10563355786704594
105;01.01.2021 01:45;0.1278584543564489
120;01.01.2021 02:00;0.028218171971294743
135;01.01.2021 02:15;0.045439366694724835
150;01.01.2021 02:30;0.04538918317005316
165;01.01.2021 02:45;0.046276260341867326
180;01.01.2021 03:00;0.06372659891793445
195;01.01.2021 03:15;0.051213351667192715
210;01.01.2021 03:30;0.04537873850907482
225;01.01.2021 03:45;0.06341033703120746
240;01.01.2021 04:00;0.05138043199066223
255;01.01.2021 04:15;0.04536808313704303
270;01.01.2021 04:30;0.06417241423266734
285;01.01.2021 04:45;0.05551795473839889
300;01.01.2021 05:00;0.06831017439427511
315;01.01.2021 05:15;0.08100119636682042
330;01.01.2021 05:30;0.08412085204998321
345;01.01.2021 05:45;0.06931320378164559
360;01.01.2021 06:00;0.0739026038415843
375;01.01.2021 06:15;0.08883468209353017
390;01.01.2021 06:30;0.07299593742418307
405;01.01.2021 06:45;0.21189220768490286
420;01.01.2021 07:00;0.43535665885050445
435;01.01.2021 07:15;0.28750509034892113
450;01.01.2021 07:30;0.20381369439019123
465;01.01.2021 07:45;0.03430739696101674
480;01.01.2021 08:00;0.033737892564117355
495;01.01.2021 08:15;0.05861048402589246
510;01.01.2021 08:30;0.06565330403486595
525;01.01.2021 08:45;0.29417200839172725
540;01.01.2021 09:00;0.2817498446832322
555;01.01.2021 09:15;0.40774753154558074
570;01.01.2021 09:30;0.02431823960402124
585;01.01.2021 09:45;0.027252416347286746
600;01.01.2021 10:00;0.028987883019694453
615;01.01.2021 10:15;0.015867630383525587
630;01.01.2021 10:30;0.023683811854816068
645;01.01.2021 10:45;0.023468928141030153
660;01.01.2021 11:00;0.01917583280627941
675;01.01.2021 11:15;0.01528295609259359
690;01.01.2021 11:30;0.024125602581406228
705;01.01.2021 11:45;0.02904982505327867
720;01.01.2021 12:00;0.015095597412028549
735;01.01.2021 12:15;0.015204136665948427
750;01.01.2021 12:30;0.024083611399797568
765;01.01.2021 12:45;0.028927997858496184
780;01.01.2021 13:00;0.014839612279816278
795;01.01.2021 13:15;0.014575990834136639
810;01.01.2021 13:30;0.02510926308831775
825;01.01.2021 13:45;0.029429759370864422
840;01.01.2021 14:00;0.09420699164417973
855;01.01.2021 14:15;0.2594652958195705
870;01.01.2021 14:30;0.3850981533630787
885;01.01.2021 14:45;0.31934170485007846
900;01.01.2021 15:00;0.2870285913966346
915;01.01.2021 15:15;0.22818043676028513
930;01.01.2021 15:30;0.01656309371016355
945;01.01.2021 15:45;0.028268137820517465
960;01.01.2021 16:00;0.028340955057721745
975;01.01.2021 16:15;0.01829558547181862
990;01.01.2021 16:30;0.022968826104116696
1005;01.01.2021 16:45;0.19461645105259145
1020;01.01.2021 17:00;0.17191199827334588
1035;01.01.2021 17:15;0.24878131275310106
1050;01.01.2021 17:30;0.1377581943709043
1065;01.01.2021 17:45;0.03788109646358601
1080;01.01.2021 18:00;0.037368910106540004
1095;01.01.2021 18:15;0.09412085533388682
1110;01.01.2021 18:30;0.10125812520682917
1125;01.01.2021 18:45;0.11020917197005378
1140;01.01.2021 19:00;0.08490279161371142
1155;01.01.2021 19:15;0.013172294330031455
1170;01.01.2021 19:30;0.02478025324792321
1185;01.01.2021 19:45;0.02619477728639999
1200;01.01.2021 20:00;0.01950731437815958
1215;01.01.2021 20:15;0.013527971668730652
1230;01.01.2021 20:30;0.030509693433547088
1245;01.01.2021 20:45;0.020350535671588323
1260;01.01.2021 21:00;0.013481054382761083
1275;01.01.2021 21:15;0.024912571394745696
1290;01.01.2021 21:30;0.026039691752174552
1305;01.01.2021 21:45;0.013150860582012352
1320;01.01.2021 22:00;0.02202972058338549
1335;01.01.2021 22:15;0.021868800816594196
1350;01.01.2021 22:30;0.02162106114058466
1365;01.01.2021 22:45;0.02274670185647513
1380;01.01.2021 23:00;0.013848244965242184
1395;01.01.2021 23:15;0.026818391211384008
1410;01.01.2021 23:30;0.015682748142066483
